country,year,iso,ref,Category,Income..net.,incomegroup,id,gdp_ppp_pc_usd2011,avg_gdp,loggdp,population,TFP_yoy,Primary_prct,Secondary_prct,Tertiary_prct,gini,labsh,Pub_spend_Educ,Educ_GINI,life_exp,Component2,Trade
Sweden,1967,swe,swe1967,d1,0.0041,High income,Sweden1967,18.954,15.431,2.942014991,7875907,1.099155481,0.565,0.366,0.069,0.33621,0.632198215,,16.195207,74.12243902,2.563487782,38.5186122
Sweden,1967,swe,swe1967,d2,0.0436,High income,Sweden1967,18.954,15.431,2.942014991,7875907,1.099155481,0.565,0.366,0.069,0.33621,0.632198215,,16.195207,74.12243902,2.563487782,38.5186122
Sweden,1967,swe,swe1967,d3,0.0622,High income,Sweden1967,18.954,15.431,2.942014991,7875907,1.099155481,0.565,0.366,0.069,0.33621,0.632198215,,16.195207,74.12243902,2.563487782,38.5186122
Sweden,1967,swe,swe1967,d4,0.0741,High income,Sweden1967,18.954,15.431,2.942014991,7875907,1.099155481,0.565,0.366,0.069,0.33621,0.632198215,,16.195207,74.12243902,2.563487782,38.5186122
Sweden,1967,swe,swe1967,d5,0.0841,High income,Sweden1967,18.954,15.431,2.942014991,7875907,1.099155481,0.565,0.366,0.069,0.33621,0.632198215,,16.195207,74.12243902,2.563487782,38.5186122
Sweden,1967,swe,swe1967,d6,0.0953,High income,Sweden1967,18.954,15.431,2.942014991,7875907,1.099155481,0.565,0.366,0.069,0.33621,0.632198215,,16.195207,74.12243902,2.563487782,38.5186122
Sweden,1967,swe,swe1967,d7,0.1104,High income,Sweden1967,18.954,15.431,2.942014991,7875907,1.099155481,0.565,0.366,0.069,0.33621,0.632198215,,16.195207,74.12243902,2.563487782,38.5186122
Sweden,1967,swe,swe1967,d8,0.1302,High income,Sweden1967,18.954,15.431,2.942014991,7875907,1.099155481,0.565,0.366,0.069,0.33621,0.632198215,,16.195207,74.12243902,2.563487782,38.5186122
Sweden,1967,swe,swe1967,d9,0.1599,High income,Sweden1967,18.954,15.431,2.942014991,7875907,1.099155481,0.565,0.366,0.069,0.33621,0.632198215,,16.195207,74.12243902,2.563487782,38.5186122
Sweden,1967,swe,swe1967,d10,0.2362,High income,Sweden1967,18.954,15.431,2.942014991,7875907,1.099155481,0.565,0.366,0.069,0.33621,0.632198215,,16.195207,74.12243902,2.563487782,38.5186122
United Kingdom,1969,gbr,gbr1969,d1,0.0324,High income,United Kingdom1969,16.492,16.492,2.802875415,110797591,1.062991928,0,0.8746,0.1256,0.32924,0.551431835,,16.85153,71.72195122,0.541384564,
United Kingdom,1969,gbr,gbr1969,d2,0.0465,High income,United Kingdom1969,16.492,16.492,2.802875415,110797591,1.062991928,0,0.8746,0.1256,0.32924,0.551431835,,16.85153,71.72195122,0.541384564,
United Kingdom,1969,gbr,gbr1969,d3,0.056,High income,United Kingdom1969,16.492,16.492,2.802875415,110797591,1.062991928,0,0.8746,0.1256,0.32924,0.551431835,,16.85153,71.72195122,0.541384564,
United Kingdom,1969,gbr,gbr1969,d4,0.0642,High income,United Kingdom1969,16.492,16.492,2.802875415,110797591,1.062991928,0,0.8746,0.1256,0.32924,0.551431835,,16.85153,71.72195122,0.541384564,
United Kingdom,1969,gbr,gbr1969,d5,0.0737,High income,United Kingdom1969,16.492,16.492,2.802875415,110797591,1.062991928,0,0.8746,0.1256,0.32924,0.551431835,,16.85153,71.72195122,0.541384564,
United Kingdom,1969,gbr,gbr1969,d6,0.0848,High income,United Kingdom1969,16.492,16.492,2.802875415,110797591,1.062991928,0,0.8746,0.1256,0.32924,0.551431835,,16.85153,71.72195122,0.541384564,
