"state","year","sce","MODEL","ssp_gdp_pc"
"AK",2020,"SSP1","IIASA GDP",46.5133504240468
"AK",2020,"SSP1","OECD Env-Growth",46.5133504240468
"AK",2020,"SSP1","PIK GDP-32",46.5133504240468
"AK",2020,"SSP2","GCAM-USA",46.5133504240468
"AK",2020,"SSP3","IIASA GDP",46.5133504240468
"AK",2020,"SSP3","OECD Env-Growth",46.5133504240468
"AK",2020,"SSP3","PIK GDP-32",46.5133504240468
"AK",2020,"SSP4","IIASA GDP",46.5133504240468
"AK",2020,"SSP4","OECD Env-Growth",46.5133504240468
"AK",2020,"SSP4","PIK GDP-32",46.5133504240468
"AK",2020,"SSP5","IIASA GDP",46.5133504240468
"AK",2020,"SSP5","OECD Env-Growth",46.5133504240468
"AK",2020,"SSP5","PIK GDP-32",46.5133504240468
"AK",2021,"SSP1","IIASA GDP",46.8936695969552
"AK",2021,"SSP1","OECD Env-Growth",47.1092322667356
"AK",2021,"SSP1","PIK GDP-32",46.8120315402618
"AK",2021,"SSP2","GCAM-USA",46.8594097512018
"AK",2021,"SSP3","IIASA GDP",46.6340960500149
"AK",2021,"SSP3","OECD Env-Growth",46.891234641009
"AK",2021,"SSP3","PIK GDP-32",46.7117348411233
"AK",2021,"SSP4","IIASA GDP",47.0783686722493
"AK",2021,"SSP4","OECD Env-Growth",47.1325366312989
"AK",2021,"SSP4","PIK GDP-32",47.2649966801258
"AK",2021,"SSP5","IIASA GDP",46.9698278847694
"AK",2021,"SSP5","OECD Env-Growth",47.2397858999343
"AK",2021,"SSP5","PIK GDP-32",46.8096417062832
"AK",2022,"SSP1","IIASA GDP",47.2739887698635
"AK",2022,"SSP1","OECD Env-Growth",47.7051141094243
"AK",2022,"SSP1","PIK GDP-32",47.1107126564768
"AK",2022,"SSP2","GCAM-USA",47.2399081583815
"AK",2022,"SSP3","IIASA GDP",46.7548416759829
"AK",2022,"SSP3","OECD Env-Growth",47.2691188579711
"AK",2022,"SSP3","PIK GDP-32",46.9101192581998
"AK",2022,"SSP4","IIASA GDP",47.6433869204518
"AK",2022,"SSP4","OECD Env-Growth",47.751722838551
"AK",2022,"SSP4","PIK GDP-32",48.0166429362047
"AK",2022,"SSP5","IIASA GDP",47.426305345492
"AK",2022,"SSP5","OECD Env-Growth",47.9662213758218
"AK",2022,"SSP5","PIK GDP-32",47.1059329885195
"AK",2023,"SSP1","IIASA GDP",47.6543079427718
"AK",2023,"SSP1","OECD Env-Growth",48.3009959521131
"AK",2023,"SSP1","PIK GDP-32",47.4093937726918
"AK",2023,"SSP2","GCAM-USA",47.6551469510937
"AK",2023,"SSP3","IIASA GDP",46.8755873019509
"AK",2023,"SSP3","OECD Env-Growth",47.6470030749332
"AK",2023,"SSP3","PIK GDP-32",47.1085036752763
"AK",2023,"SSP4","IIASA GDP",48.2084051686543
"AK",2023,"SSP4","OECD Env-Growth",48.3709090458032
"AK",2023,"SSP4","PIK GDP-32",48.7682891922836
"AK",2023,"SSP5","IIASA GDP",47.8827828062146
"AK",2023,"SSP5","OECD Env-Growth",48.6926568517093
"AK",2023,"SSP5","PIK GDP-32",47.4022242707558
"AK",2024,"SSP1","IIASA GDP",48.0346271156802
"AK",2024,"SSP1","OECD Env-Growth",48.8968777948018
"AK",2024,"SSP1","PIK GDP-32",47.7080748889068
"AK",2024,"SSP2","GCAM-USA",48.105964641251
"AK",2024,"SSP3","IIASA GDP",46.996332927919
"AK",2024,"SSP3","OECD Env-Growth",48.0248872918953
"AK",2024,"SSP3","PIK GDP-32",47.3068880923528
"AK",2024,"SSP4","IIASA GDP",48.7734234168568
"AK",2024,"SSP4","OECD Env-Growth",48.9900952530553
"AK",2024,"SSP4","PIK GDP-32",49.5199354483625
"AK",2024,"SSP5","IIASA GDP",48.3392602669372
"AK",2024,"SSP5","OECD Env-Growth",49.4190923275969
"AK",2024,"SSP5","PIK GDP-32",47.6985155529922
"AK",2025,"SSP1","IIASA GDP",48.4149462885885
"AK",2025,"SSP1","OECD Env-Growth",49.4927596374906
"AK",2025,"SSP1","PIK GDP-32",48.0067560051218
"AK",2025,"SSP2","GCAM-USA",48.5937591227133
"AK",2025,"SSP3","IIASA GDP",47.117078553887
"AK",2025,"SSP3","OECD Env-Growth",48.4027715088574
"AK",2025,"SSP3","PIK GDP-32",47.5052725094293
"AK",2025,"SSP4","IIASA GDP",49.3384416650593
"AK",2025,"SSP4","OECD Env-Growth",49.6092814603074
"AK",2025,"SSP4","PIK GDP-32",50.2715817044415
"AK",2025,"SSP5","IIASA GDP",48.7957377276598
"AK",2025,"SSP5","OECD Env-Growth",50.1455278034843
"AK",2025,"SSP5","PIK GDP-32",47.9948068352285
"AK",2026,"SSP1","IIASA GDP",49.0666809987441
"AK",2026,"SSP1","OECD Env-Growth",50.3383217734231
"AK",2026,"SSP1","PIK GDP-32",48.5634955627398
"AK",2026,"SSP2","GCAM-USA",49.1190576588298
"AK",2026,"SSP3","IIASA GDP",47.5729653249043
